model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_EXP_1_elliot	0.05560176337632681	0.10967425912319372	0.011903012490815578	0.05560176337632681	0.19250551065393093	0.0211614383125101	0.014481325835367152	0.06317413666421748	0.05387907251802062	2.709772226304188	0.1405823459457932	61.1696840882769	0.6320870943486809	0.8603329188918413	631.0	1361.0	0.027132167227413517	6.013351260706122	0.12671490366734195	0.013285282895183643
VSM_sim=cosine_up=tfidf_ip=binary_load=ChainedKG	0.05805098049488436	0.11509919177075678	0.01307861866274798	0.05805098049488436	0.224834680382072	0.02318421858625673	0.0165360133750946	0.07338231692383052	0.054469900345838415	11.633357825128583	0.5816678912564291	7.773548861131521	0.09747339557354574	0.23714224443416534	1681.0	1361.0	0.30591350173553866	9.766059913217083	0.16113194827631389	0.014499654310896027
AttributeItemKNN_nn=20_sim=cosine_bin=False_load=ChainedKG	0.05943952596095437	0.09992652461425422	0.011278471711976488	0.05943952596095437	0.19838354151359294	0.01999235683227633	0.01774050477215321	0.06928973793779084	0.06633672618259849	11.992652461425422	0.5996326230712712	7.277185892725937	0.0857316540339279	0.20178113223891808	1732.0	1361.0	0.33570535218664177	9.888384441950523	0.16326022888457123	0.014716628574403779
AttributeUserKNN_nn=60_sim=cosine_profile=binary_bin=False_load=ChainedKG	0.05092174842141263	0.0905339211364193	0.010396767083027185	0.05092174842141263	0.18956649522409993	0.018416280394046105	0.014871321153615917	0.05890031839333823	0.0567631505809248	0.9963262307127112	0.04981631153563557	57.84970609845701	0.7978717008356881	0.9545554270810059	1291.0	1361.0	0.11023064953491424	8.11663756433112	0.11588382625509516	0.012543204862258298
ItemKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0369064259342226	0.06718099436688708	0.0069801616458486405	0.0369064259342226	0.13299044819985306	0.012471359370378634	0.009997325379235306	0.04326659319128092	0.03875728982856891	11.538574577516531	0.5769287288758266	21.22468772961058	0.23714485721872208	0.24629702824235633	2228.0	1361.0	0.6114693333219263	10.640690801544324	0.08980869858953189	0.008539916476372023
UserKNN_nn=60_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.04015827647878815	0.08110457996571148	0.008927259368111683	0.040158276478788155	0.16605437178545188	0.01588605976012934	0.010838107761832121	0.047978202302228753	0.039528315436009424	0.9044819985304923	0.04522409992652461	60.85635562086701	0.8653961644713137	0.958852796677283	1377.0	1361.0	0.10896133180964329	8.069348075040665	0.08616736898565441	0.009566867494237567
EASER_neighborhood=2234_l2_norm=18374136$168271586	0.02690894597002119	0.05682096497673279	0.00653930933137399	0.02690894597002119	0.12270389419544453	0.011570372784952859	0.007059232966725066	0.03131888317413666	0.024665820068461772	0.08743570903747244	0.004371785451873622	96.69739162380604	0.9376803445314286	0.9961129797634989	438.0	1361.0	0.020178321766910368	5.809870537125396	0.05321464098846406	0.006344972541956486
RP3beta_neighborhood=29_alpha=1$596217202535946_beta=0$2874229165090889_normalize_similarity=True	0.039528928929094764	0.07466323781533185	0.00789860396767083	0.039528928929094764	0.14842027920646583	0.014085089324203786	0.010875796967372774	0.04685525349008082	0.041376086108947344	9.329169728141073	0.4664584864070537	20.363813372520205	0.3614434947768281	0.4412160623769115	2150.0	1361.0	0.4694066327905543	10.345622547503114	0.09430823775053872	0.009326855843616174
MostPop	0.011119044862660283	0.019470977222630418	0.002498163115356356	0.011119044862660283	0.0470242468772961	0.0043715838623674935	0.0033639587081513663	0.012552657359784471	0.01224625229323787	0.0	0.0	108.50587803085966	1.0	1.0	28.0	1361.0	0.009184982591960544	4.532700528842885	0.019118142288901928	0.002569310781313568
Random_seed=42	0.002747679766118001	0.006637276512368355	0.0008082292432035269	0.0027476797661180013	0.016164584864070537	0.0014169191295984257	0.000621733100408462	0.0030822924320352686	0.0023245510364570065	13.79426891991183	0.6897134459955915	5.773842762674504	0.5429374178637785	0.0006111689000166045	2234.0	1361.0	0.8412347286856394	11.067578493971794	0.006697148971384439	0.0007033542969334744
